食材,能量kcal/100g
白葡萄酒,66.0
百里香,0.0
薄荷,271.0
爆米花,406.0
贝果,264.0
菠菜,31.0
菠萝,44.0
菜籽油,89.9
藏红花,310.0
草莓,32.0
陈皮,319.0
橙子,47.0
刺山柑,42.0
葱,27.0
醋,31.0
大豆,390.0
大米,347.0
大蒜,128.0
豆腐,84.0
豆泥,390.0
鳄梨,171.0
番茄,15.0
番茄酱,83.0
枫糖浆,260.0
蜂蜜,321.0
橄榄,116.0
橄榄油,89.9
干牛至,265.0
鲑鱼,131.0
黑豆,410.0
黑胡椒粉,364.0
红辣椒,295.0
红薯,86.0
胡椒粉,361.0
胡萝卜,32.0
花生,313.0
花生酱,576.0
华夫饼,202.0
黄瓜,16.0
黄油,888.0
火鸡,115.0
火腿,330.0
鸡蛋,138.0
鸡肉,145.0
鸡汤,7.0
鸡腿,211.0
鸡胸肉,118.0
酱油,63.0
芥末,490.0
卷心菜,24.0
开心果,661.0
可可粉,349.0
辣酱,115.0
辣椒,22.0
辣椒粉,290.0
辣椒油,88.4
蓝莓,57.0
藜麦,368.0
罗勒叶,1.2
蔓越莓,46.0
芒果,35.0
毛豆,131.0
迷迭香,118.0
米饭,116.0
蘑菇,29.0
奶酪,328.0
奶油,585.5
南瓜,23.0
柠檬,37.0
柠檬汁,27.0
牛奶,66.0
牛肉,125.0
牛肉汤,77.0
欧芹,36.0
泡菜,24.0
培根,248.0
苹果,53.0
葡萄酒,85.0
奇亚籽,436.0
芹菜,13.0
青葱,28.0
青豆,131.0
青椒,22.0
青桔,38.0
青柠汁,59.0
沙拉酱,680.0
什锦蔬菜,38.0
生姜,46.0
莳萝,43.0
蔬菜,38.0
蔬菜汤,68.0
鼠尾草,37.0
水,0.0
松饼,257.0
酸奶,82.0
桃子,42.0
甜菜,87.0
甜椒,18.0
甜辣酱,115.0
通菜,19.0
通心粉,360.0
土豆,81.0
吐司,272.5
豌豆,111.0
莴苣,15.0
无花果,65.0
西葫芦,19.0
西兰花,27.0
虾,93.0
香菜,33.0
香肠,508.0
香葱,27.0
小麦粉,362.0
杏仁奶,17.0
鳕鱼肉,211.0
盐,0.0
洋葱,40.0
洋蓟心,47.0
椰奶,31.0
意面,351.0
樱桃汁,69.0
鹰嘴豆,160.0
油,89.9
羽衣甘蓝,69.0
玉米,112.0
玉米饼,202.0
芸豆,315.0
芝麻,536.0
芝麻酱,630.0
芝麻油,89.8
芝士,328.0
孜然粉,3.0
White Wine,66
Thyme,0
Mint,271
Popcorn,406
Bagel,264
Spinach,31
Pineapple,44
Canola Oil,89.9
Saffron,310
Strawberry,32
Dried Tangerine Peel,319
Orange,47
Sea Buckthorn,42
Scallion,27
Vinegar,31
Soybeans,390
Rice,347
Garlic,128
Tofu,84
Bean Paste,390
Avocado,171
Tomato,15
Ketchup,83
Maple Syrup,260
Honey,321
Olive,116
Olive Oil,89.9
Dried Oregano,265
Salmon,131
Black Beans,410
Black Pepper,364
Red Chili,295
Sweet Potato,86
Pepper Powder,361
Carrot,32
Peanut,313
Peanut Butter,576
Waffle,202
Cucumber,16
Butter,888
Turkey,115
Ham,330
Egg,138
Chicken,145
Chicken Soup,7
Chicken Leg,211
Chicken Breast,118
Soy Sauce,63
Mustard,490
Cabbage,24
Pistachio,661
Cocoa Powder,349
Hot Sauce,115
Chili Pepper,22
Chili Powder,290
Chili Oil,88.4
Blueberry,57
Quinoa,368
Basil Leaf,1.2
Cranberry,46
Mango,35
Edamame,131
Rosemary,118
Rice,116
Mushroom,29
Cheese,328
Cream,585.5
Pumpkin,23
Lemon,37
Lemon Juice,27
Milk,66
Beef,125
Beef Soup,77
Parsley,36
Kimchi,24
Bacon,248
Apple,53
Wine,85
Chia Seeds,436
Celery,13
Green Onion,28
Green Peas,131
Green Pepper,22
Lime,38
Lime Juice,59
Salad Dressing,680
Mixed Vegetables,38
Ginger,46
Dill,43
Vegetables,38
Vegetable Soup,68
Sage,37
Water,0
Muffin,257
Yogurt,82
Peach,42
Beetroot,87
Sweet Pepper,18
Sweet Chili Sauce,115
Water Spinach,19
Macaroni,360
Potato,81
Toast,272.5
Peas,111
Lettuce,15
Fig,65
Zucchini,19
Broccoli,27
Shrimp,93
Cilantro,33
Sausage,508
Banana,93
Spring Onion,27
Wheat Flour,362
Almond Milk,17
Cod Fish,211
Salt,0
Onion,40
Artichoke Hearts,47
Coconut Milk,31
Pasta,351
Cherry Juice,69
Chickpeas,160
Oil,89.9
Kale,69
Corn,112
Corn Tortilla,202
Kidney Beans,315
Sesame,536
Tahini,630
Sesame Oil,89.8
Cheese,328
Cumin Powder,3
Jam,176
Mayonnaise,696
Pork,173
Nori,290
