Recipe Name,Total Calories
三豆沙拉,1003.1
全麦蔬菜卷,610.1999999999999
切碎沙拉配花生酱和沙拉差豆腐,1013.39
午餐盒,411.0
南瓜汤,945.52
奶油鳄梨芸豆卷,1367.635
奶酪洋葱辣椒玉米饼,1634.8
帕尔马醋汁菠菜洋蓟沙拉,956.8499999999999
意大利面沙拉,901.335
披萨,389.20000000000005
松脆鹰嘴豆抱子甘蓝沙拉,1597.5
火鸡肉酱西葫芦面,1116.0
牛肉汤,2025.745
玛丽娜拉肉酱烤土豆,302.28999999999996
缤纷鸡肉蔬菜烩,620.49
脆皮鸡肉玉米饼,2234.4
英式松饼番茄橄榄披萨,301.25
草莓奶油芝士三明治,258.9
藜麦烤蔬菜沙拉,467.5
西兰花火腿烤土豆,418.07000000000005
豆腐盖饭,1066.9850000000001
辣味虾毛豆沙拉碗,1150.8
鲜香鸡肉饭,2094.2
鳄梨三明治,846.1
鳄梨番茄鸡肉三明治,321.55
鸡肉沙拉,1186.85
鸡肉碗,2364.8
鸡肉藜麦健康碗,517.6
鹰嘴豆泥酱烤红薯,1269.25
鹰嘴豆蒸粗麦粉沙拉,689.74
